start_date,end_date,value,device
2016-08-29 23:22:22+01:00,2016-08-30 05:00:22+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-30 22:00:00+01:00,2016-08-31 04:51:36+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-31 04:51:56+01:00,2016-08-31 05:05:04+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-31 05:05:40+01:00,2016-08-31 05:05:44+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-31 05:06:04+01:00,2016-08-31 05:06:40+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-31 23:01:36+01:00,2016-09-01 05:00:05+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-01 22:03:31+01:00,2016-09-02 05:03:52+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-02 05:08:40+01:00,2016-09-02 05:09:07+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-04 22:00:00+01:00,2016-09-05 05:03:18+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-05 23:28:51+01:00,2016-09-06 05:07:20+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-06 22:22:52+01:00,2016-09-07 05:00:06+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-07 22:00:00+01:00,2016-09-08 04:57:56+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-08 04:58:32+01:00,2016-09-08 04:58:56+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-08 04:59:04+01:00,2016-09-08 04:59:56+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-08 22:00:00+01:00,2016-09-09 05:07:00+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-11 22:07:00+01:00,2016-09-12 05:09:31+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-12 21:45:00+01:00,2016-09-13 02:41:40+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-13 02:47:52+01:00,2016-09-13 04:59:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-13 05:01:56+01:00,2016-09-13 05:04:32+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-14 21:59:12+01:00,2016-09-15 04:49:52+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-15 04:51:24+01:00,2016-09-15 04:55:45+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-15 22:10:24+01:00,2016-09-16 04:45:09+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-18 21:45:00+01:00,2016-09-19 04:49:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-19 04:52:08+01:00,2016-09-19 04:52:55+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-19 23:13:16+01:00,2016-09-20 04:45:18+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-20 21:45:00+01:00,2016-09-21 04:45:15+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-21 22:01:04+01:00,2016-09-22 04:45:07+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-22 22:33:16+01:00,2016-09-23 04:56:20+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-23 04:59:32+01:00,2016-09-23 05:03:51+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-25 21:45:00+01:00,2016-09-26 00:51:32+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-26 00:53:16+01:00,2016-09-26 04:45:09+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-26 22:52:08+01:00,2016-09-27 04:45:10+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-27 21:45:00+01:00,2016-09-28 04:54:18+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-28 21:45:00+01:00,2016-09-29 04:53:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-09-29 04:53:44+01:00,2016-09-29 04:54:15+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-02 22:51:40+01:00,2016-10-03 04:54:08+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-03 21:58:52+01:00,2016-10-04 04:45:12+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-04 21:45:00+01:00,2016-10-05 04:38:08+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-05 04:42:08+01:00,2016-10-05 04:54:29+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-05 21:55:32+01:00,2016-10-06 04:54:21+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-06 23:00:12+01:00,2016-10-07 05:33:31+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-09 23:08:35+01:00,2016-10-10 05:15:07+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-10 21:45:00+01:00,2016-10-11 05:28:12+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-11 05:30:08+01:00,2016-10-11 05:33:38+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-10-11 22:25:12+01:00,2016-10-12 05:09:15+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
